Issue_ID,Status,Priority,Category,Subcategory,Title,Description,Component,File,Resolution,Date_Updated,Date_Resolved,Reporter,Assignee,Tags,Test_Coverage,Estimated_Hours,Impact_Area,First_Seen,Last_Seen,Occurrences
buildsystemissues:4f8eb5e86460,open,high,build-process,,Fix Rust compilation issues for Windows target,Fix Rust compilation issues for Windows target,native/scanner/,Rust scanner compilation fails on Windows,2026-05-08,2026-06-08,,,rust-compilation,"windows-native, tracker:build-system-issues, id:BUILD-001",8,,,2026-06-08,2026-06-08,1
buildsystemissues:3584277d867d,open,medium,dependencies,,Install required Windows SDK and development tools,Install required Windows SDK and development tools,native/scanner/,Missing Windows SDK dependencies,2026-05-08,2026-06-08,,,windows-sdk,"dependencies, tracker:build-system-issues, id:BUILD-002",4,,,2026-06-08,2026-06-08,1
buildsystemissues:2570c6ca25c4,open,medium,configuration,,Update Cargo,Update Cargo.toml for Windows compatibility,native/scanner/Cargo.toml,Cargo configuration incompatible with Windows,2026-05-08,2026-06-08,,,cargo-config,"windows-rust, tracker:build-system-issues, id:BUILD-003",3,,,2026-06-08,2026-06-08,1
securityissues:0c6ebd0ef143,open,medium,security,,Sanitize error messages for user display,Sanitize error messages for user display,Multiple components,Error messages expose sensitive information,2026-05-08,2026-06-08,,,information-disclosure,"error-security, tracker:security-issues, id:SEC-003",4,,,2026-06-08,2026-06-08,1
session2review:a61c3cce3c45,open,medium,security,,Add secure random default for development with warning on startup,Add secure random default for development with warning on startup,ai-service/app/config.py,SECRET_KEY has no default value - will be None if env var not set,2026-05-16,2026-06-08,,,missing-secret,"auth-crash, tracker:session-2-review, id:INT-008",3,,,2026-06-08,2026-06-08,1
session2review:34fed1394ad5,open,medium,configuration,,Create root,Create root .env.example with all service configurations documented,project root,No root .env.example for unified configuration across all services,2026-05-16,2026-06-08,,,missing-env-example,"configuration, tracker:session-2-review, id:INT-009",2,,,2026-06-08,2026-06-08,1
session2review:d9a8c19cd809,open,medium,functionality,,Implement report generation and duplicate cleaning or remove flags,Implement report generation and duplicate cleaning or remove flags,src/main.rs,CLI accepts --report and --clean flags but features are not implemented,2026-05-16,2026-06-08,,,unimplemented-flags,"missing-features, tracker:session-2-review, id:INT-012",6,,,2026-06-08,2026-06-08,1
session2review:bcb92e70a169,open,medium,functionality,,Make scan recursive or add ?recursive=true parameter,Make scan recursive or add ?recursive=true parameter,server/server-improved.js,/api/files/scan is non-recursive (shonly single directory level),2026-05-16,2026-06-08,,,shallow-scan,"incomplete-api, tracker:session-2-review, id:INT-013",3,,,2026-06-08,2026-06-08,1
session2review:ecc7df708047,open,low,documentation,,Consolidate to single CHANGELOG,Consolidate to single CHANGELOG.md and archive old ones,CHANGELOG.md + CHANGELOG-SIMPLIFIED.md + docs/CHANGELOG.md,Three separate changelogs with inconsistent version numbering,2026-05-16,2026-06-08,,,duplicate-changelogs,"inconsistent, tracker:session-2-review, id:INT-014",2,,,2026-06-08,2026-06-08,1
session2review:02efdeb86f4b,open,medium,functionality,,Connect to real system metrics and historical scan data,Connect to real system metrics and historical scan data,server/server-improved.js,Analytics endpoints return random/mock data instead of real metrics,2026-05-16,2026-06-08,,,mock-data,"useless-analytics, tracker:session-2-review, id:INT-016",4,,,2026-06-08,2026-06-08,1
